Date,Observer,Temperature (F),Wind (mph),StudyLocation,Treatment ,StartTime,PatchID,PointID,Species2min,SpeciesCode2min,Distance2min,Species5min,SpeciesCode5min,Distance5min
4/4/2024,BO,44,2,Garden City,Urban,8:55,GC 12,GC 12.2,American Robin,AMRO,34.8,Eurasian Collared Dove,EUCD,46.8
4/25/2024,JS/NB,56,11,Topeka,WMA,9:21,4,4.2,House Finch,HOFI,35,American Robin,AMRO,71.3
7/12/2024,JS/HQ,71,10,Topeka,Urban,6:55,13,13.2,Downy Woodpecker,DOWO,35,NA,NA,NA
7/15/2024,"GA, CL",78,12,McPherson,Rural,6:49,BB8,BB8.1,Red-winged Blackbird,RWBL,35,House Sparrow,HOSP,70
7/25/2024,"CL,GA",71,5,McPherson,Rural,7:38,BB11,BB11.2,Red-winged Blackbird,RWBL,35,Common Grackle,COGR,130
7/26/2024,"GA,CL",70,5,McPherson,WMA,7:23,IN8,IN8.4,Indigo Bunting,INBU,35,NA,NA,NA
8/15/2024,CL,71,5,McPherson,Urban,7:31,MC1,MC1.1,Mourning Dove,MODO,35,Mourning Dove,MODO,15
8/15/2024,CL,72,5,McPherson,Urban,7:39,MC1,MC1.2,Blue Jay,BLJA,35,NA,NA,NA
8/15/2024,CL,79,5,McPherson,Urban,9:38,MC8,MC8.2,House Finch,HOFI,35,Northern Cardinal,NOCA,85
8/14/2024,"RR, IW",71,1,Garden City,WMA,6:59,BR 6,BR 6.2,Mourning Dove,MODO,35,NA,NA,NA
8/15/2024,IW,70,1,Garden City,Urban,8:40,GC 13,GC 13.3,Eurasian Collared Dove,EUCD,35,Rock Pigeon,ROPI,36
8/15/2024,IW,70,1,Garden City,Urban,8:40,GC 13,GC 13.3,Mississippi Kite,MIKI,35,Rock Pigeon,ROPI,54
8/15/2024,IW,70,1,Garden City,Urban,8:40,GC 13,GC 13.3,Eurasian Collared Dove,EUCD,35,Grackle ,NA,86
8/15/2024,IW,70,1,Garden City,Urban,8:40,GC 13,GC 13.3,Rock Pigeon,ROPI,35,NA,NA,NA
4/25/2024,ED,59,16,McPherson,Rural,9:57,BB6,BB6.1,Eastern Meadowlark,EAME,35.1,Red-winged Blackbird,RWBL,231.2
4/12/2024,JS/NB,42,7,Topeka,WMA,7:42,10,10.1,Eastern Bluebird,EABL,35.2,Harris's Sparrow,HASP,Only Heard
4/12/2024,JS/NB,42,7,Topeka,WMA,7:42,10,10.1,European Starling,EUST,35.2,House Finch,HOFI,Only Heard
4/23/2024,NB,59,8,Topeka,Urban,9:09,9,9.2,American Robin,AMRO,35.2,European Starling,EUST,179.4
7/16/2024,NB,76,7,Topeka,Urban,6:57,12,12.1,Mourning Dove,MODO,35.2,European Starling,EUST,Only Heard
7/11/2024,NB,74,6,Topeka,WMA,9:28,3,3.1,American Goldfinch,AGOL,35.3,Bell's Vireo,BEVI,38.8
4/17/2024,BO,46,3,Garden City,WMA,7:51,BR 6,BR 6.2,White-crowned Sparrow,WCSP,35.3,White-crowned Sparrow,WCSP,113.6
4/5/2024,"ED, NB, JS",58,13,McPherson,Urban,10:56,MC15,MC15.1,Red-winged Blackbird,RWBL,35.4,American Robin,AMRO,85
4/1/2024,BO,46,3,Garden City,Urban,9:29,GC18,GC18.1,European Starling,EUST,35.4,NA,NA,NA
4/5/2024,BO,49,4,Garden City,Urban,9:04,GC 2,GC 2.2,Eurasian Collared Dove,EUCD,35.4,American Robin,AMRO,67.8
4/4/2024,"ED, NB, JS",37,8,McPherson,Urban,8:28,MC5,MC5.1,European Starling,EUST,35.5,Eurasian Collared Dove,EUCD,43.1
4/19/2024,JS/NB,47,4,Topeka,WMA,9:20,21,21.1,Chipping Sparrow,CHSP,35.6,NA,NA,NA
7/11/2024,NB,74,6,Topeka,WMA,9:28,3,3.1,Dickcissel,DICK,35.6,American Goldfinch,AGOL,83.9
4/8/2024,JS/NB,52,5,Topeka,WMA,9:46,16,16.2,Tufted Titmouse,TUTI,35.7,NA,NA,NA
8/29/2024,"BO, IW",68,1,Garden City,Urban,7:05,GC 11,GC 11.1,Eurasian Collared Dove,EUCD,35.7,Eurasian Collared Dove,EUCD,80.1
4/30/2024,JS/NB,66,11,Topeka,Urban,9:43,18,18.1,American Robin,AMRO,35.8,Black-capped Chickadee,BCCH,Only Heard
8/16/2024,NB/ED,71,4,Topeka,WMA,8:20,23,23.1,Eastern Bluebird,EABL,35.8,Mourning Dove,MODO,Only Heard
5/1/2024,JS/NB,60,11,Topeka,Urban,8:33,21,21.1,Chipping Sparrow,CHSP,35.9,Black-capped Chickadee,BCCH,Only Heard
4/22/2024,JS/NB,44,11,Topeka,Urban,7:35,5,5.2,European Starling,EUST,36,Warbling Vireo,WAVI,Only Heard
7/16/2024,"ED,GA",76,14,Inman,WMA,7:28,IN1,IN1.2,swallow,NA,36,Red-winged Blackbird,RWBL,70
8/15/2024,CL,72,5,McPherson,Urban,7:39,MC1,MC1.2,Common Grackle,COGR,36,Blue Jay,BLJA,46
8/21/2024,GA & IW,71,11,McPherson,Rural,9:05,BB4,BB4.2,Red-winged Blackbird,RWBL,36,Lark Sparrow,LASP,54
8/2/2024,IW,68,1,Garden City,Urban,6:59,GC 16,GC 16.1,Eurasian Collared Dove,EUCD,36,NA,NA,NA
4/22/2024,JS/NB,46,11,Topeka,Urban,8:10,2,2.1,European Starling,EUST,36.1,NA,NA,NA
4/3/2024,BO,36,2,Garden City,Urban,8:49,GC 14,GC 14.1,Eurasian Collared Dove,EUCD,36.1,Eurasian Collared Dove,EUCD,71
4/4/2024,"ED, NB, JS",37,8,McPherson,Urban,8:28,MC5,MC5.1,Mourning Dove,MODO,36.3,NA,NA,NA
8/2/2024,NB,74,7,Topeka,WMA,8:25,2,2.2,Red-eyed Vireo,REVI,36.5,Northern Cardinal,NOCA,Only Heard
4/3/2024,BO,36,2,Garden City,Urban,9:45,GC 16,GC 16.2,American Robin,AMRO,36.5,Eurasian Collared Dove,EUCD,100.4
4/25/2024,JS/NB,55,11,Topeka,WMA,8:47,3,3.2,American Robin,AMRO,36.7,NA,NA,NA
4/25/2024,JS/NB,55,11,Topeka,WMA,9:51,6,6.2,American Robin,AMRO,36.7,NA,NA,NA
4/1/2024,BO,45,3,Garden City,Urban,9:13,GC13,GC13.3,Eurasian Collared Dove,EUCD,36.7,European Starling,EUST,50.8
8/26/2024,"BO, RR",70,1,Garden City,Urban,8:35,GC 16,GC 16.2,Eurasian Collared Dove,EUCD,36.7,NA,NA,NA
4/4/2024,BO,48,2,Garden City,Urban,9:44,GC 7,GC 7.1,Eurasian Collared Dove,EUCD,36.8,Eurasian Collared Dove,EUCD,53.8
4/5/2024,BO,45,4,Garden City,Urban,8:10,GC 4,GC 4.3,European Starling,EUST,36.8,House Sparrow,HOSP,15.4
8/20/2024,ED,64,3,Topeka,WMA,7:15,8,8.2,Northern Cardinal,NOCA,37,NA,NA,NA
8/20/2024,ED,68,4,Topeka,WMA,9:22,20,20.1,Eastern Bluebird,EABL,37,NA,NA,NA
7/18/2024,"ED,GA",73,7,McPherson,Urban,9:32,MC25,MC25.1,Eurasian Collared Dove,EUCD,37,Great Blue Heron,GBHE,153
8/1/2024,"GA,CL",73,5,McPherson,WMA,6:42,IN8,IN8.1,Barn Swallow,BARS,37,Upland Sandpiper,UPSA,64
8/21/2024,GA & IW,71,11,McPherson,Rural,9:05,BB4,BB4.2,Dickcissel,DICK,37,Dickcissel,DICK,56
8/1/2024,IW,71,2,Garden City,Rural,8:03,CN 1,CN 1.1,Lark Sparrow,LASP,37,NA,NA,NA
8/26/2024,IW,72,0,Garden City,Urban,7:41,GC 19,GC 19.1,Eurasian Collared Dove,EUCD,37,NA,NA,NA
7/11/2024,NB,76,6,Topeka,WMA,10:11,10,10.2,Mourning Dove,MODO,37.1,Northern Cardinal,NOCA,35.6
4/10/2024,"ED, NP",52,5,McPherson,WM,before 9,BB1,BB1.2,Red-winged Blackbird,RWBL,37.1,Ring-necked Pheasant,RNEP,89.9
8/26/2024,"BO, RR",73,1,Garden City,Urban,8:59,GC 15,GC 15.2,Loggerhead Shrike,LOSH,37.2,European Starling,EUST,240
4/19/2024,JS/NB,47,4,Topeka,WMA,9:20,21,21.1,Tufted Titmouse,TUTI,37.4,Brown-headed Cowbird,BHCO,Only Heard
7/12/2024,JS/HQ,70,9,Topeka,Urban,6:22,5,5.1,European Starling,EUST,37.5,Warbling Vireo,WAVI,Only Heard
7/12/2024,JS/HQ,70,9,Topeka,Urban,6:22,5,5.1,Common Grackle,COGR,37.5,Eastern Kingbird,EAKI,30
4/23/2024,NB,59,8,Topeka,Urban,10:14,10,10.2,Blue Jay,BLJA,37.6,European Starling,HOSP,27.9
4/4/2024,"ED, NB, JS",44,10,McPherson,Urban,9:41,MC6,MC6.1,House Sparrow,HOSP,37.6,European Starling,EUST,12.4
4/4/2024,"ED, NB, JS",44,10,McPherson,Urban,9:41,MC6,MC6.1,Mourning Dove,MODO,37.6,European Starling,EUST,23.2
4/1/2024,BO,46,3,Garden City,Urban,9:29,GC18,GC18.1,Eurasian Collared Dove,EUCD,37.6,NA,NA,NA
8/30/2024,BO,65,1,Garden City,Urban,8:05,GC 7,GC 7.3,House Sparrow,HOSP,37.6,Eurasian Collared Dove,EUCD,116.6
7/12/2024,JS/HQ,70,9,Topeka,Urban,6:38,5,5.2,Common Grackle,COGR,37.9,American Robin,AMRO,37.9
7/12/2024,JS/HQ,70,9,Topeka,Urban,6:38,5,5.2,European Starling,EUST,37.9,House Finch,HOFI,27.9
8/29/2024,"BO, IW",70,1,Garden City,Urban,8:10,GC 20,GC 20.1,Eurasian Collared Dove,EUCD,37.9,Blue Jay,BLJA,76
4/4/2024,"ED, NB, JS",41,9,McPherson,Urban,9:06,MC5,MC5.2,House Sparrow,HOSP,38,NA,NA,NA
7/16/2024,"ED,GA",75,11,Inman,WMA,6:46,IN2,IN2.1,Eastern Meadowlark ,EAME,38,Dickcissel,DICK,35
7/25/2024,"CL,GA",71,5,McPherson,Rural,7:38,BB11,BB11.2,Red-winged Blackbird,RWBL,38,Common Yellowthroat,COYE,32
7/16/2024,NB,76,6,Topeka,Urban,6:36,11,11.2,European Starling,EUST,38.1,Mourning Dove,MODO,77.5
4/5/2024,BO,50,4,Garden City,Urban,9:39,GC 6,GC 6.1,Grackle,NA,38.1,White-winged Dove,WWDO,39.2
4/12/2024,JS/NB,50,9,Topeka,WMA,9:48,4,4.1,Northern Cardinal,NOCA,38.3,Downy Woodpecker,DOWO,46.4
8/15/2024,BO,70,2,Garden City,Urban,7:43,GC 9,GC 9.2,Eurasian Collared Dove,EUCD,38.3,European Starling,EUST,87.2
4/23/2024,NB,58,8,Topeka,Urban,8:51,9,9.1,European Starling,EUST,38.4,European Starling,EUST,60.1
4/30/2024,JS/NB,67,11,Topeka,Urban,9:53,18,18.2,American Robin,AMRO,38.5,NA,NA,NA
4/22/2024,JS/NB,44,11,Topeka,Urban,7:35,5,5.2,American Robin,AMRO,38.6,Common Grackle,COGR,53
7/10/2024,NB,74,4,Topeka,Urban,8:45,2,2.2,European Starling,EUST,38.6,Mourning Dove,MODO,17.5
4/18/2024,ED,46,6,McPherson,WMA,9:11,IN,IN4.3,Eastern Meadowlark,EAME,38.6,Eastern Meadowlark,EAME,92.2
4/4/2024,BO,37,2,Garden City,Urban,7:58,GC 10,GC 10.2,European Starling,EUST,38.9,Eurasian Collared Dove,EUCD,14.9
8/27/2024,"BO, IW",69,1,Garden City,Urban,8:47,GC 4,GC 4.1,European Starling,EUST,38.9,Eurasian Collared Dove,EUCD,27
8/20/2024,ED,64,4,Topeka,WMA,6:59,8,8.1,American Goldfinch,AGOL,39,NA,NA,NA
7/16/2024,"ED,GA",75,11,Inman,WMA,6:46,IN2,IN2.1,Dickcissel,DICK,39,sparrow,NA,105
7/29/2024,"GA,CL",75,11,McPherson,Urban,6:50,MC9,MC9.1,European Starling,EUST,39,NA,NA,NA
7/30/2024,"GA, CL",82,17,McPherson,Urban,8:24,MC19,MC19.2,Cedar Waxwing,CEDW,39,Western Kingbird,WEKI,60
8/14/2024,"RR, IW",74,1,Garden City,Urban,8:55,GC 18,GC 18.2,Eurasian Collared Dove,EUCD,39,Eurasian Collared Dove,EUCD,68
8/15/2024,BO,70,1,Garden City,Urban,8:57,GC 2,GC 2.2,Eurasian Collared Dove,EUCD,39,Barn Swallow,BARS,21
4/10/2024,"ED, NP",58,7,McPherson,WM,10:42,BB4,BB4.2,Red-winged Blackbird,RWBL,39.1,meadowlark,NA,35.7
4/18/2024,ED,49,7,McPherson,WMA,9:57,IN,IN4.1,Western Meadowlark,WEME,39.1,Eastern Meadowlark,EAME,38.6
4/18/2024,ED,46,6,McPherson,WMA,9:11,IN,IN4.3,Red-winged Blackbird,RWBL,39.2,Ring-necked Pheasant,EAME,51.7
4/25/2024,JS/NB,55,11,Topeka,WMA,9:51,6,6.2,White-throated Sparrow,WTSP,39.3,NA,NA,NA
4/30/2024,JS/NB,62,10,Topeka,Urban,8:23,14,14.2,Carolina Wren,CARW,39.3,European Starling,EUST,60.6
4/25/2024,ED,59,16,McPherson,Rural,9:57,BB6,BB6.1,Red-winged Blackbird,RWBL,39.3,Red-winged Blackbird,RWBL,192.3
4/24/2024,RR,59,2,Garden City,Rural,10:31,CN 5,CN 5.3,White-crowned Sparrow,WCSP,39.3,White-crowned Sparrow,WCSP,49.2
4/25/2024,ED,59,16,McPherson,Rural,9:57,BB6,BB6.1,Red-winged Blackbird,RWBL,39.4,Red-winged Blackbird,RWBL,59.1
4/2/2024,BO,45,4,Garden City,Urban,9:42,GC 24,GC 24.1,American Robin,AMRO,39.4,Eurasian Collared Dove,EUCD,21.2
5/3/2024,JS/NB,53,6,Topeka,Urban,8:20,15,15.1,House Finch,HOFI,39.5,House Sparrow,HOSP,53.6
5/3/2024,JS/NB,53,6,Topeka,Urban,8:20,15,15.1,House Finch,HOFI,39.7,European Starling,EUST,42.9
4/4/2024,BO,48,2,Garden City,Urban,9:52,GC 7,GC 7.2,Eurasian Collared Dove,EUCD,39.7,European Starling,EUST,64.1
4/2/2024,BO,46,3,Garden City,Urban,9:24,GC 23,GC 23.2,American Robin,AMRO,39.8,European Starling,EUST,44.2
4/3/2024,BO,34,2,Garden City,Urban,8:37,GC 14,GC 14.2,House Sparrow,HOSP,39.8,Eurasian Collared Dove,EUCD,30.4
4/8/2024,JS/NB,52,5,Topeka,WMA,9:46,16,16.2,Black-capped Chickadee,BCCH,40,Tufted Titmouse,TUTI,58.8
8/20/2024,ED,68,4,Topeka,WMA,9:22,20,20.1,Green Heron,GRHE,40,NA,NA,NA
7/15/2024,"GA, CL",78,12,McPherson,Rural,6:49,BB8,BB8.1,European Starling,EUST,40,Red-winged Blackbird,RWBL,180
7/15/2024,"GA, CL",81,13,McPherson,Rural,8:10,BB12,BB12.3,Brown-headed Cowbird,BHCO,40,Red-winged Blackbird,RWBL,130
7/16/2024,"ED,GA",76,11,Inman,WMA,7:13,IN1,IN1.1,swallow,NA,40,European Starling,EUST,119
7/22/2024,"CL,GA",63,2,McPherson,Rural,7:21,BB9,BB9.2,Brown-headed Cowbird ,BHCO,40,NA,NA,NA
7/25/2024,"CL,GA",77,6,McPherson,Rural,8:39,BB13,BB13.1,Dickcissel,DICK,40,NA,NA,NA
7/26/2024,"GA,CL",70,5,McPherson,WMA,7:23,IN8,IN8.4,Mourning Dove,MODO,40,NA,NA,NA
4/2/2024,BO,44,2,Garden City,Urban,8:27,GC 22,GC 22.1,European Starling,EUST,40,House Sparrow,HOSP,42.5
4/2/2024,BO,45,3,Garden City,Urban,8:56,GC 23,GC 23.3,Eurasian Collared Dove,EUCD,40,Eurasian Collared Dove,EUCD,62.7
7/30/2024,"BO, IW",76,2,Garden City,WMA,7:23,BR 1,BR 1.2,Western Kingbird,WEKI,40,Western Kingbird,WEKI,78
7/30/2024,"BO, IW",76,2,Garden City,WMA,7:23,BR 1,BR 1.2,Western Kingbird,WEKI,40,NA,NA,NA
8/2/2024,IW,68,1,Garden City,Urban,7:19,GC 8,GC 8.2,European Starling,EUST,40,Grackle,NA,76
8/14/2024,"RR, IW",71,1,Garden City,WMA,6:59,BR 6,BR 6.2,Mourning Dove,MODO,40,Mourning Dove,MODO,104
8/29/2024,"BO, IW",70,1,Garden City,Urban,8:10,GC 20,GC 20.1,Mississippi Kite,MIKI,40,Eurasian Collared Dove,EUCD,81.7
8/30/2024,BO,63,1,Garden City,Urban,7:30,GC 10,GC 10.1,Eurasian Collared Dove,EUCD,40,Eurasian Collared Dove,EUCD,65.5
4/18/2024,ED,49,7,McPherson,WMA,9:57,IN,IN4.1,Eastern Meadowlark,EAME,40.1,Ring-necked Pheasant,RNEP,48.5
4/24/2024,RR,56,2,Garden City,Rural,9:37,CN 1,CN 1.3,White-crowned Sparrow,WCSP,40.1,Mourning Dove,MODO,140.7
4/17/2024,ED,64,4,McPherson,WMA,9:46,IN,IN5.4,Red-winged Blackbird,RWBL,40.2,Ring-necked Pheasant,RNEP,136.3
4/24/2024,RR,62,2,Garden City,Rural,11:38,CN 3,CN 3.2,White-crowned Sparrow,WCSP,40.2,White-crowned Sparrow,WCSP,54.8
4/25/2024,JS/NB,56,11,Topeka,WMA,10:17,8,8.1,American Robin,AMRO,40.3,NA,NA,NA
7/10/2024,NB,77,5,Topeka,Urban,9:30,6,6.1,American Robin,AMRO,40.3,NA,NA,NA
4/22/2024,JS/NB,48,11,Topeka,Urban,8:31,2,2.2,American Goldfinch,AGOL,40.6,NA,NA,NA
4/23/2024,NB,59,8,Topeka,Urban,10:14,10,10.2,American Robin,AMRO,41,American Robin,AMRO,34.1
7/15/2024,"GA, CL",78,12,McPherson,Rural,6:24,BB7,BB7.2,Red-winged Blackbird,RWBL,41,Red-winged Blackbird,RWBL,120
7/15/2024,"GA, CL",84,14,McPherson,Rural,8:51,BB13,BB13.2,Brown-headed Cowbird,BHCO,41,Brown-headed Cowbird,BHCO,20
7/16/2024,"ED,GA",77,10,Inman,WMA,8:07,IN3,IN3.2,Red-winged Blackbird,RWBL,41,sparrow,NA,50
7/18/2024,"ED,GA",66,5,McPherson,Urban,7:39,MC8,MC8.1,Western Kingbird,WEKI,41,sparrow,NA,29
7/22/2024,"CL,GA",65,2,McPherson,Rural,7:47,BB9,BB9.1,Dickcissel,DICK,41,Red-winged Blackbird,RWBL,191
7/25/2024,"GA,CL",81,7,McPherson,Rural,9:26,BB12,B12.2,Red-winged Blackbird,RWBL,41,NA,NA,NA
8/7/2024,CL,67,9,McPherson,Urban,8:08,MC14,MC14.1,House Sparrow,HOSP,41,NA,NA,NA
8/13/2024,CL,73,11,McPherson,Urban,8:59,MC5,MC5.2,Mississippi Kite,MIKI,41,NA,NA,NA
8/1/2024,BO,70,2,Garden City,Rural,8:03,CN 3,CN 3.3,Swainson's Hawk,SWHA,41,NA,NA,NA
4/3/2024,BO,33,2,Garden City,Urban,8:13,GC 20,GC 20.3,Eurasian Collared Dove,EUCD,41.1,NA,NA,NA
5/1/2024,JS/NB,60,11,Topeka,Urban,8:33,21,21.1,White-crowned Sparrow,WCSP,41.2,Indigo Bunting,INBU,68.6
4/10/2024,JS/NB,55,4,Topeka,WMA,9:59,6,6.1,Song Sparrow,SOSP,41.3,NA,NA,NA
4/25/2024,JS/NB,55,11,Topeka,WMA,9:51,6,6.2,American Robin,AMRO,41.3,Northern Flicker,NOFL,Only Heard
7/30/2024,NB,78,12,Topeka,Urban,6:51,18,18.1,Blue Jay,BLJA,41.3,Blue Jay,BLJA,41.4
4/29/2024,BO,58,2,Garden City,WMA,9:18,BR 14,BR 14.2,White-crowned Sparrow,WCSP,41.3,NA,NA,NA
4/25/2024,JS/NB,55,11,Topeka,WMA,8:47,3,3.2,House Sparrow,HOSP,41.4,American Robin,AMRO,43.6
4/1/2024,BO,47,2,Garden City,Urban,9:40,GC17,GC17.1,American Crow,AMCR,41.5,Eurasian Collared Dove,EUCD,61.7
4/8/2024,JS/NB,52,5,Topeka,WMA,9:46,16,16.2,Northern Cardinal,NOCA,41.9,Ruby-crowned Kinglet ,RCKI,12.6
4/16/2024,ED,60,18,McPherson,Urban,8:58,MC17,MC17.1,Northern Cardinal,NOCA,41.9,Song Sparrow,SOSP,86.6
8/20/2024,ED,64,4,Topeka,WMA,6:59,8,8.1,Northern Cardinal,NOCA,42,NA,NA,NA
8/20/2024,ED,64,4,Topeka,WMA,6:59,8,8.1,House Sparrow,HOSP,42,NA,NA,NA
4/4/2024,"ED, NB, JS",63,9,McPherson,Urban,3:01,MC9,MC9.2,Brown Creeper,BRCR,42,Mourning Dove,MODO,70
7/15/2024,"GA, CL",78,12,McPherson,Rural,6:49,BB8,BB8.1,European Starling,EUST,42,Brown-headed Cowbird,BHCO,65
7/18/2024,"ED,GA",69,6,McPherson,Urban,8:15,MC15,MC15.2,Eurasian Collared Dove,EUCD,42,European Starling,EUST,89
7/22/2024,"CL,GA",67,2,McPherson,Rural,8:24,MC26,MC26.2,Eurasian Collared Dove,EUCD,42,Purple Martin,PUMA,117
7/29/2024,"GA,CL",74,11,McPherson,Urban,7:14,MC5,MC5.1,Blue Jay,BLJA,42,House Sparrow,HOSP,14
7/30/2024,"GA, CL",79,14,McPherson,Urban,6:58,MC21,MC21.2,House Sparrow,HOSP,42,American Robin,AMRO,42
8/13/2024,CL,73,11,McPherson,Urban,9:48,MC6,MC6.2,Mississippi Kite,MIKI,42,NA,NA,NA
8/15/2024,CL,72,5,McPherson,Urban,7:39,MC1,MC1.2,Northern Cardinal,NOCA,42,Northern Flicker,NOFL,61
8/21/2024,GA & IW,71,11,McPherson,Rural,9:05,BB4,BB4.2,Dickcissel,DICK,42,NA,NA,NA
4/1/2024,BO,46,2,Garden City,Urban,10:59,GC19,GC19.1,Eurasian Collared Dove,EUCD,42,House Sparrow,HOSP,59.5
8/2/2024,IW,68,1,Garden City,Urban,7:08,GC 16,GC 16.2,Eurasian Collared Dove,EUCD,42,Eurasian Collared Dove,EUCD,42
8/15/2024,BO,71,2,Garden City,Urban,7:59,GC 6,GC 6.1,Eurasian Collared Dove,EUCD,42,NA,NA,NA
8/29/2024,"BO, IW",69,1,Garden City,Urban,7:46,GC 14,GC 14.2,House Sparrow,HOSP,42,European Starling,EUST,114.8
8/29/2024,"BO, IW",70,1,Garden City,Urban,8:10,GC 20,GC 20.1,Mississippi Kite,MIKI,42,Blue Jay,BLJA,64.9
4/3/2024,BO,34,2,Garden City,Urban,8:25,GC 20,GC 20.2,Eurasian Collared Dove,EUCD,42.1,Eurasian Collared Dove,EUCD,48.7
4/30/2024,JS/NB,68,11,Topeka,Urban,10:08,20,20.1,American Robin,AMRO,42.2,House Finch,HOFI,Only Heard
8/7/2024,NB/HQ,69,6,Topeka,WMA,9:21,17,17.2,Mourning Dove,MODO,42.4,NA,NA,NA
4/4/2024,BO,47,2,Garden City,Urban,9:27,GC 8,GC 8.2,Eurasian Collared Dove,EUCD,42.5,European Starling,EUST,74.3
4/23/2024,NB,59,8,Topeka,Urban,9:58,16,16.2,Common Grackle,COGR,42.6,Northern Cardinal,NOCA,97
4/4/2024,BO,44,2,Garden City,Urban,8:55,GC 12,GC 12.2,Grackle,NA,42.6,Eurasian Collared Dove,EUCD,58
4/25/2024,JS/NB,55,11,Topeka,WMA,8:47,3,3.2,Northern Flicker,NOFL,42.7,European Starling,EUST,42
4/10/2024,"ED, NP",58,7,McPherson,WM,10:42,BB4,BB4.2,Ring-necked Pheasant,RNEP,42.8,Song Sparrow,SOSP,34.5
4/8/2024,JS/NB,47,4,Topeka,WMA,8:41,19,19.2,Northern Cardinal,NOCA,42.9,Brown-headed Cowbird,BHCO,21.4
7/16/2024,NB,76,6,Topeka,Urban,6:36,11,11.2,European Starling,EUST,43,European Starling,EUST,88.5
8/20/2024,ED,64,3,Topeka,WMA,7:15,8,8.2,American Robin,AMRO,43,NA,NA,NA
7/22/2024,"CL,GA",70,2,McPherson,Rural,9:18,MC24,MC24.2,Eastern Meadowlark ,EAME,43,Scissor-tailed Flycatcher,STFL,168
7/23/2024,"CL,GA",66,2,McPherson,WMA,7:38,IN6,IN6.2,Red-winged Blackbird,RWBL,43,Red-winged Blackbird,RWBL,36
7/25/2024,"CL,GA",71,5,McPherson,Rural,7:38,BB11,BB11.2,Red-winged Blackbird,RWBL,43,NA,NA,NA
8/23/2024,"IW, GA",75,15,McPherson,Rual,10:31,BB 6,BB 6.1,Red-winged Blackbird,RWBL,43,Red-winged Blackbird,RWBL,74
4/3/2024,BO,36,2,Garden City,Urban,9:21,GC 15,GC 15.2,European Starling,EUST,43,Red-tailed Hawk,RTHA,232
8/2/2024,IW,68,1,Garden City,Urban,6:59,GC 16,GC 16.1,Eurasian Collared Dove,EUCD,43,Lark Sparrow,LASP,38
8/14/2024,"RR, IW",73,1,Garden City,Urban,8:48,GC 18,GC 18.1,Eurasian Collared Dove,EUCD,43,House Finch,HOFI,38
8/15/2024,IW,70,1,Garden City,Urban,8:40,GC 13,GC 13.3,Rock Pigeon,ROPI,43,NA,NA,NA
8/26/2024,"BO, RR",69,2,Garden City,Urban,7:37,GC 20,GC 20.2,Eurasian Collared Dove,EUCD,43,European Starling,EUST,70.2
4/1/2024,ED,68,20,McPherson,Urban,9:58,MC1,MC1.1,Common Grackle,COGR,43.1,American Robin,AMRO,41.1
8/27/2024,"BO, IW",69,1,Garden City,Urban,8:47,GC 4,GC 4.1,Eurasian Collared Dove,EUCD,43.1,European Starling,EUST,152
5/3/2024,JS/NB,54,5,Topeka,Urban,8:34,15,15.2,House Sparrow,HOSP,43.2,Rose-breasted Grosbeak,RBGR,22.2
4/25/2024,JS/NB,55,11,Topeka,WMA,8:47,3,3.2,American Robin,AMRO,43.3,House Wren,HOWR,Only Heard
4/17/2024,ED,66,5,McPherson,WMA,10:17,IN,IN6.1,Eastern Meadowlark,EAME,43.4,NA,NA,NA
4/25/2024,JS/NB,55,11,Topeka,WMA,8:23,3,3.1,European Starling,EUST,43.5,NA,NA,NA
4/23/2024,ED,65,12,McPherson,WMA,10:41,IN4,IN4.1,Eastern Meadowlark,EAME,43.6,Franklin's Gull,FRGU,164.2
4/10/2024,"ED, NP",52,5,McPherson,WM,8:58,BB1,BB1.3,Red-winged Blackbird,RWBL,43.9,NA,NA,NA
4/12/2024,ED,55,4,McPherson,Urban,10:29,MC18,MC18.2,Western Meadowlark,WEME,44,Common Grackle,COGR,53
7/15/2024,"GA, CL",78,12,McPherson,Rural,7:03,BB8,BB8.2,Red-winged Blackbird,RWBL,44,Brown-headed Cowbird,BHCO,65
8/20/2024,CL,67,8,McPherson,Rural,7:48,MC11,MC11.1,European Starling,EUST,44,European Starling,EUST,250
4/10/2024,"ED, NP",58,7,McPherson,WM,10:42,BB4,BB4.2,Ring-necked Pheasant,RNEP,44.2,Red-winged Blackbird,RWBL,34.5
4/1/2024,ED,68,20,McPherson,Urban,9:58,MC1,MC1.1,American Robin,AMRO,44.3,House Sparrow,HOSP,69.3
4/17/2024,BO,57,2,Garden City,WMA,9:54,BR 4,BR 4.1,White-crowned Sparrow,WCSP,44.3,White-crowned Sparrow,WCSP,13.7
4/5/2024,BO,59,4,Garden City,Urban,10:37,GC 1,GC 1.2,Eurasian Collared Dove,EUCD,44.4,Eurasian Collared Dove,EUCD,107.4
8/29/2024,"BO, IW",70,1,Garden City,Urban,8:32,GC 15,GC 15.1,House Sparrow,HOSP,44.5,House Sparrow,HOSP,36.8
4/25/2024,JS/NB,55,11,Topeka,WMA,8:47,3,3.2,American Robin,AMRO,44.6,Common Grackle,COGR,144.8
7/16/2024,NB,76,6,Topeka,Urban,6:36,11,11.2,Mourning Dove,MODO,44.6,Mourning Dove,MODO,61.4
